CDC100211MB,PB-STBF01,"179,683.00","179,683.00","179,683.00",0.00,0.00,0.00,0.00
CDC100211MB,,"179,683.00","179,683.00","179,683.00",0.00,0.00,0.00,"179,683.00"
CDC100211MB,PB-KOR01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100211MB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100302MB,PB-MST01,"60,000.00","60,000.00","60,000.00",0.00,0.00,0.00,0.00
CDC100302MB,PB-MST01,0.00,0.00,0.00,732.88,0.00,732.88,0.00
CDC100302MB,PB-MST01,0.00,0.00,0.00,"4,734.00",0.00,"4,734.00",0.00
CDC100302MB,,"60,000.00","60,000.00","60,000.00","5,466.88",0.00,"5,466.88","54,533.12"
CDC100303MB,PB-WDB12,"90,000.00","90,000.00","90,000.00",0.00,0.00,0.00,0.00
CDC100303MB,,"90,000.00","90,000.00","90,000.00",0.00,0.00,0.00,"90,000.00"
CDC100304MB,PB-WDB12,"309,688.50","309,688.50","309,688.50",0.00,0.00,0.00,0.00
CDC100304MB,PB-WDB12,0.00,0.00,0.00,"16,168.87",0.00,"16,168.87",0.00
CDC100304MB,PB-WDB12,0.00,0.00,0.00,0.00,"1,116.76","1,116.76",0.00
CDC100304MB,PB-WDB12,0.00,0.00,0.00,"43,278.00",0.00,"43,278.00",0.00
CDC100304MB,,"309,688.50","309,688.50","309,688.50","59,446.87","1,116.76","60,563.63","249,124.87"
CDC100305MB,PB-STBF01,"900,000.00","900,000.00","900,000.00",0.00,0.00,0.00,0.00
CDC100305MB,,"900,000.00","900,000.00","900,000.00",0.00,0.00,0.00,"900,000.00"
CDC100307MB,PB-WDB12,"116,648.00","116,648.00","116,648.00",0.00,0.00,0.00,0.00
CDC100307MB,PB-WDB12,0.00,0.00,0.00,"2,585.30",0.00,"2,585.30",0.00
CDC100307MB,PB-WDB12,0.00,0.00,0.00,"8,227.00",0.00,"8,227.00",0.00
CDC100307MB,PB-WDB12,0.00,0.00,0.00,0.00,627.00,627.00,0.00
CDC100307MB,PB-WDB12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100307MB,PB-WDB12,0.00,0.00,0.00,"1,529.06",0.00,"1,529.06",0.00
CDC100307MB,PB-WDB12,0.00,0.00,0.00,0.00,24.00,24.00,0.00
CDC100307MB,,"116,648.00","116,648.00","116,648.00","12,341.36",651.00,"12,992.36","103,655.64"
CDC100308MB,PB-WDB12,"220,284.00","220,284.00","220,284.00",0.00,0.00,0.00,0.00
CDC100308MB,,"220,284.00","220,284.00","220,284.00",0.00,0.00,0.00,"220,284.00"
CDC100309MB,PB-WDB12,"189,956.00","189,956.00","189,956.00",0.00,0.00,0.00,0.00
CDC100309MB,,"189,956.00","189,956.00","189,956.00",0.00,0.00,0.00,"189,956.00"
CDC100310MB,PB-WDB12,"100,000.00","100,000.00","100,000.00",0.00,0.00,0.00,0.00
CDC100310MB,,"100,000.00","100,000.00","100,000.00",0.00,0.00,0.00,"100,000.00"
CDC100311MB,PB-WDB12,"1,071,597.50","1,071,597.50","1,071,597.50",0.00,0.00,0.00,0.00
CDC100311MB,,"1,071,597.50","1,071,597.50","1,071,597.50",0.00,0.00,0.00,"1,071,597.50"
CDC100312MB,PB-FCD01,"54,681.00","54,681.00","54,681.00",0.00,0.00,0.00,0.00
CDC100312MB,PB-FCD01,0.00,0.00,0.00,"18,914.43",0.00,"18,914.43",0.00
CDC100312MB,PB-FCD01,0.00,0.00,0.00,"16,608.70",0.00,"16,608.70",0.00
CDC100312MB,,"54,681.00","54,681.00","54,681.00","35,523.13",0.00,"35,523.13","19,157.87"
CDC100313MB,PB-WDB12,"408,038.00","408,038.00","408,038.00",0.00,0.00,0.00,0.00
CDC100313MB,,"408,038.00","408,038.00","408,038.00",0.00,0.00,0.00,"408,038.00"
CDC100314MB,PB-FCD01,"63,145.00","63,145.00","63,145.00",0.00,0.00,0.00,0.00
CDC100314MB,PB-FCD01,0.00,0.00,0.00,"5,000.00",0.00,"5,000.00",0.00
CDC100314MB,,"63,145.00","63,145.00","63,145.00","5,000.00",0.00,"5,000.00","58,145.00"
CDC100315MB,PB-CEPI01,"60,000.00","60,000.00","60,000.00",0.00,0.00,0.00,0.00
CDC100315MB,,"60,000.00","60,000.00","60,000.00",0.00,0.00,0.00,"60,000.00"
CDC100401MB,PB-WDB12,"1,261,600.00","1,261,600.00","1,261,600.00",0.00,0.00,0.00,0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,400.00,400.00,0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,"93,892.13","93,892.13",0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,"228,961.53",0.00,"228,961.53",0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,"317,084.00","52,236.00","369,320.00",0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,"130,200.00","130,200.00",0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,524.00,524.00,0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,"1,704.00","1,704.00",0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,62.00,62.00,0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,"13,782.75",0.00,"13,782.75",0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,238.00,238.00,0.00
CDC100401MB,PB-WDB12,0.00,0.00,0.00,0.00,"1,910.00","1,910.00",0.00
CDC100401MB,,"1,261,600.00","1,261,600.00","1,261,600.00","559,828.28","281,166.13","840,994.41","420,605.59"
CDC100402MB,PB-MST01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100402MB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100402MB,PB-GAVI01,"80,000.00","80,000.00","80,000.00",0.00,0.00,0.00,0.00
CDC100402MB,,"80,000.00","80,000.00","80,000.00",0.00,0.00,0.00,"80,000.00"
CDC100403MB,PB-FCD01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100403MB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100403MB,PB-WDB12,"1,963,080.00","1,963,080.00","1,963,080.00",0.00,0.00,0.00,0.00
CDC100403MB,PB-WDB12,0.00,0.00,0.00,0.00,"21,000.00","21,000.00",0.00
CDC100403MB,PB-WDB12,0.00,0.00,0.00,"9,257.16",0.00,"9,257.16",0.00
CDC100403MB,PB-WDB12,0.00,0.00,0.00,"21,104.00",0.00,"21,104.00",0.00
CDC100403MB,,"1,963,080.00","1,963,080.00","1,963,080.00","30,361.16","21,000.00","51,361.16","1,911,718.84"
CDC100404MB,PB-KOR01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100404MB,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CDC100404MB,PB-GAVI01,"351,300.00","351,300.00","351,300.00",0.00,0.00,0.00,0.00
CDC100404MB,,"351,300.00","351,300.00","351,300.00",0.00,0.00,0.00,"351,300.00"
CDC100405MB,PB-ADM03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
